id;langue_id;libelle;est_actif;cree_le;cree_par;modif_le;modif_par
1;41824;Accountability;true;2019-05-14T21:47:44;Chair;2019-05-15T01:09:49;transmit Ways
2;98528;engage;true;2019-05-15T01:53:32;Assistant generating;2019-05-14T14:54:50;Bypass
3;41481;24/7;false;2019-05-15T09:13:30;New Taiwan Dollar Zimbabwe parse;2019-05-14T13:07:04;Rhode Island capacitor
4;75708;enhance Multi-channe;false;2019-05-14T12:08:12;Savings Account;2019-05-15T05:32:46;El Salvador Colon US Dollar Checking Account global
5;11355;Moroccan Dirham;true;2019-05-14T23:36:17;connecting solution connecting;2019-05-14T11:48:09;Refined redundant
6;58995;Burg;false;2019-05-14T16:54:38;Credit Card Account transmitter cyan;2019-05-15T07:45:38;Industrial seamless
7;58991;mesh partnerships;true;2019-05-14T17:36:01;Luxembourg Spurs;2019-05-14T13:10:57;middleware Switzerland
8;69764;back-end Via indexin;true;2019-05-15T04:50:09;Canyon;2019-05-14T11:30:47;Berkshire concept
9;63340;Future-proofed Aweso;false;2019-05-14T23:59:27;Delaware;2019-05-15T01:25:35;Pakistan Rupee
10;18006;Rupiah;false;2019-05-14T13:30:39;Mission Rand Soap;2019-05-15T06:25:07;Licensed Wooden Pants
